Name,Year,Address,City,Country,Continent,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award
Les Eleveurs,2021,"Suikerkaai 1a, Halle, 1500, Belgium",Halle,Alemania,Europe,45,145,EUR,"Classic Cuisine, Regional Cuisine",4.237608,50.732199,3223611340,https://guide.michelin.com/en/vlaams-brabant/be-halle/restaurant/les-eleveurs,https://www.les-eleveurs.be/,Bib Gourmand
Ibaya,2021,"Carretera General 2, Soldeu, AD100, Andorra",Soldeu,Andorra,Europe,110,145,EUR,"Creative, Modern Cuisine",1.6709488,42.5755768,376870670,https://guide.michelin.com/en/canillo/soldeu/restaurant/ibaya,http://www.sporthotels.ad,1 MICHELIN Star
Celler d'en Toni,2021,"Verge del Pilar 4, Andorra la Vella, AD500, Andorra",Andorra la Vella,Andorra,Europe,72,72,EUR,Contemporary,1.531772,42.507145,376862750,https://guide.michelin.com/en/andorra-la-vella-region/andorra-la-vella/restaurant/celler-d-en-toni,http://www.cellerdentoni.com,Bib Gourmand
Amador,2021,"Grinzinger Straße 86, Vienna, 1190, Austria",Vienna,Austria,Europe,265,265,EUR,"Creative, Contemporary",16.3586003,48.2540114,4.37E+11,https://guide.michelin.com/en/vienna/wien/restaurant/amador,http://www.restaurant-amador.com/,3 MICHELIN Stars
SENNS.Restaurant,2021,"Söllheimerstrasse 16, Salzburg, 5020, Austria",Salzburg,Austria,Europe,85,205,EUR,Creative,13.0634487,47.8360718,4.37E+11,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/senns-restaurant,https://www.senns.restaurant/,2 MICHELIN Stars
Ikarus,2021,"Wilhelm-Spazier-Straße 7a, Salzburg, 5020, Austria",Salzburg,Austria,Europe,140,210,EUR,Creative,13.007903,47.7935605,4366221970,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/ikarus,https://www.hangar-7.com/,2 MICHELIN Stars
Silvio Nickol Gourmet Restaurant,2021,"Coburgbastei 4, Vienna, 1010, Austria",Vienna,Austria,Europe,160,180,EUR,Modern Cuisine,16.3770073,48.2058003,43151818130,https://guide.michelin.com/en/vienna/wien/restaurant/silvio-nickol-gourmet-restaurant,https://www.palais-coburg.com/,2 MICHELIN Stars
Steirereck im Stadtpark,2021,"Am Heumarkt 2a, Vienna, 1030, Austria",Vienna,Austria,Europe,135,185,EUR,"Creative, Contemporary",16.3815669,48.2043967,4317133168,https://guide.michelin.com/en/vienna/wien/restaurant/steirereck-im-stadtpark,https://www.steirereck.at/,2 MICHELIN Stars
Mraz & Sohn,2021,"Wallensteinstraße 59, Vienna, 1200, Austria",Vienna,Austria,Europe,145,145,EUR,Creative,16.3762794,48.2313246,4313304594,https://guide.michelin.com/en/vienna/wien/restaurant/mraz-sohn,https://www.mrazundsohn.at/,2 MICHELIN Stars
Konstantin Filippou,2021,"Dominikanerbastei 17, Vienna, 1010, Austria",Vienna,Austria,Europe,56,189,EUR,Modern Cuisine,16.3797942,48.2107279,4315122229,https://guide.michelin.com/en/vienna/wien/restaurant/konstantin-filippou,https://www.konstantinfilippou.com/,2 MICHELIN Stars